Date,Security,EX,Close,PrevClose,Cha,Open,High,Low,Avg,Volume,Turnover,Trns,RSI,Return,DilutedPrice
09/07/2018,EXPON0000,,4,4,0,4,4.1,4,4,44569,178286,18,33.29,0,4
10/07/2018,EXPON0000,,3.9,4,-0.1,3.9,4,3.9,4,2599897,10391812,42,25,-2.5,3.9
11/07/2018,EXPON0000,,4,3.9,0.1,4,4,3.9,4,483792,1935168,41,36.31,2.56,4
12/07/2018,EXPON0000,,4,4,0,4.1,4.2,4,4,439615,1760237,75,36.31,0,4
13/07/2018,EXPON0000,,4,4,0,4.1,4.1,4,4,350242,1401550,50,44.39,0,4
16/07/2018,EXPON0000,,4,4,0,4,4.2,4,4.1,66330,272266,48,37.48,0,4
17/07/2018,EXPON0000,,4.1,4,0.1,4.1,4.2,4,4.07,4405164,17941823,135,57.11,2.5,4.1
18/07/2018,EXPON0000,,4.2,4.1,0.1,4.1,4.2,4.1,4.1,81513,334415,14,57.11,2.43,4.2
19/07/2018,EXPON0000,,4.1,4.2,-0.1,4.2,4.2,4.1,4.1,131820,540672,26,57.11,-2.38,4.1
20/07/2018,EXPON0000,,4.2,4.1,0.1,4.2,4.3,4.2,4.21,1292869,5448186,139,62.52,2.43,4.2
23/07/2018,EXPON0000,,4.2,4.2,0,4.2,4.2,4.1,4.18,10672,44605,9,71.54,0,4.2
24/07/2018,EXPON0000,,4.2,4.2,0,4.2,4.2,4.1,4.18,732,3061,5,66.74,0,4.2
25/07/2018,EXPON0000,,4.2,4.2,0,4.2,4.2,4.1,4.11,108827,447043,29,66.74,0,4.2
26/07/2018,EXPON0000,,4.2,4.2,0,4.1,4.2,4,4.19,55519,232830,19,66.74,0,4.2
30/07/2018,EXPON0000,,4.1,4.2,-0.1,4.2,4.2,4.1,4.1,9308,38173,15,57.11,-2.38,4.1
31/07/2018,EXPON0000,,4,4.1,-0.1,4.3,4.3,3.9,4,553579,2212917,50,57.11,-2.43,4
01/08/2018,EXPON0000,,4,4,0,4.1,4.1,4,4,238873,955497,29,50,0,4
02/08/2018,EXPON0000,,4,4,0,4,4.1,3.9,4,177529,709817,39,50,0,4
03/08/2018,EXPON0000,,4,4,0,4.1,4.2,4,4.02,330540,1327334,34,50,0,4
06/08/2018,EXPON0000,,4,4,0,4,4,3.9,4,66163,264452,21,50,0,4
07/08/2018,EXPON0000,,4.1,4,0.1,4,4.1,4,4,352591,1410385,25,50,2.5,4.1
08/08/2018,EXPON0000,,4.2,4.1,0.1,4.1,4.2,4,4.1,1355705,5561611,79,50,2.43,4.2
09/08/2018,EXPON0000,,4.1,4.2,-0.1,4.2,4.2,4.1,4.15,47714,197838,12,50,-2.38,4.1
10/08/2018,EXPON0000,,4.1,4.1,0,4.1,4.1,4.1,4.1,1457462,5975594,45,39.89,0,4.1
13/08/2018,EXPON0000,,4.1,4.1,0,4.2,4.2,4,4.09,14811,60595,10,39.89,0,4.1
14/08/2018,EXPON0000,,4.1,4.1,0,4,4.1,4,4.1,6004,24616,4,39.89,0,4.1
15/08/2018,EXPON0000,,4.1,4.1,0,4,4.1,4,4.08,72702,296473,16,39.89,0,4.1
16/08/2018,EXPON0000,,4.1,4.1,0,4,4.1,4,4.05,126641,512975,18,39.89,0,4.1
17/08/2018,EXPON0000,,4.1,4.1,0,4.1,4.1,4,4.08,63510,259391,13,50,0,4.1
20/08/2018,EXPON0000,,4.1,4.1,0,4,4,4,4,1,4,1,66.67,0,4.1
21/08/2018,EXPON0000,,4,4.1,-0.1,4.1,4.1,4,4,126020,504680,13,50,-2.43,4
23/08/2018,EXPON0000,,4,4,0,4,4.1,4,4,366092,1464388,20,50,0,4
24/08/2018,EXPON0000,,4,4,0,4,4.1,4,4,191803,767212,14,50,0,4
27/08/2018,EXPON0000,,4,4,0,4,4.1,4,4,391410,1565642,31,50,0,4
28/08/2018,EXPON0000,,4,4,0,4,4,4,4,77210,308840,16,33.33,0,4
29/08/2018,EXPON0000,,4,4,0,4.1,4.1,4,4,47959,191946,16,0,0,4
30/08/2018,EXPON0000,,4,4,0,4,4.1,3.9,3.99,293681,1173120,52,0,0,4
31/08/2018,EXPON0000,,4,4,0,4,4.1,3.9,4,1123416,4493615,75,0,0,4
03/09/2018,EXPON0000,,4,4,0,4.1,4.1,4,4,30602,122408,22,0,0,4
04/09/2018,EXPON0000,,4,4,0,4,4.1,4,4,771045,3084181,77,0,0,4
