,driver,points,driverID,race,race_country
0,Lewis Hamilton,246.5,hamilton,15,Russia
1,Max Verstappen,244.5,max_verstappen,15,Russia
2,Valtteri Bottas,151,bottas,15,Russia
3,Lando Norris,139,norris,15,Russia
4,Sergio Pérez,120,perez,15,Russia
5,Carlos Sainz,112.5,sainz,15,Russia
6,Charles Leclerc,104,leclerc,15,Russia
7,Daniel Ricciardo,95,ricciardo,15,Russia
8,Pierre Gasly,66,gasly,15,Russia
9,Fernando Alonso,58,alonso,15,Russia
10,Esteban Ocon,45,ocon,15,Russia
11,Sebastian Vettel,35,vettel,15,Russia
12,Lance Stroll,24,stroll,15,Russia
13,Yuki Tsunoda,18,tsunoda,15,Russia
14,George Russell,16,russell,15,Russia
15,Nicholas Latifi,7,latifi,15,Russia
16,Kimi Räikkönen,6,raikkonen,15,Russia
17,Antonio Giovinazzi,1,giovinazzi,15,Russia
18,Mick Schumacher,0,mick_schumacher,15,Russia
19,Robert Kubica,0,kubica,15,Russia
20,Nikita Mazepin,0,mazepin,15,Russia
0,Max Verstappen,262.5,max_verstappen,16,Turkey
1,Lewis Hamilton,256.5,hamilton,16,Turkey
2,Valtteri Bottas,177,bottas,16,Turkey
3,Lando Norris,145,norris,16,Turkey
4,Sergio Pérez,135,perez,16,Turkey
5,Carlos Sainz,116.5,sainz,16,Turkey
6,Charles Leclerc,116,leclerc,16,Turkey
7,Daniel Ricciardo,95,ricciardo,16,Turkey
8,Pierre Gasly,74,gasly,16,Turkey
9,Fernando Alonso,58,alonso,16,Turkey
10,Esteban Ocon,46,ocon,16,Turkey
11,Sebastian Vettel,35,vettel,16,Turkey
12,Lance Stroll,26,stroll,16,Turkey
13,Yuki Tsunoda,18,tsunoda,16,Turkey
14,George Russell,16,russell,16,Turkey
15,Nicholas Latifi,7,latifi,16,Turkey
16,Kimi Räikkönen,6,raikkonen,16,Turkey
17,Antonio Giovinazzi,1,giovinazzi,16,Turkey
18,Mick Schumacher,0,mick_schumacher,16,Turkey
19,Robert Kubica,0,kubica,16,Turkey
