,driverID,race,qualipos,racepos
1262,vergne,15,17,8
1263,vettel,15,1,6
1264,webber,15,2,4
1265,alonso,16,4,2
1266,bruno_senna,16,18,23
1267,button,16,11,1
1268,glock,16,22,16
1269,grosjean,16,7,21
1270,hamilton,16,3,20
1271,hulkenberg,16,8,5
1272,kobayashi,16,13,9
1273,kovalainen,16,20,14
1274,maldonado,16,15,22
1275,massa,16,6,3
1276,michael_schumacher,16,10,7
1277,perez,16,12,24
1278,petrov,16,19,11
1279,pic,16,21,12
1280,raikkonen,16,5,10
1281,resta,16,14,19
1282,ricciardo,16,16,13
1283,rosa,16,23,17
1284,rosberg,16,9,15
1285,vergne,16,17,8
1286,vettel,16,2,6
1287,webber,16,1,4
1288,alonso,17,5,2
1289,bruno_senna,17,13,23
1290,button,17,4,1
1291,glock,17,21,16
1292,grosjean,17,11,21
1293,hamilton,17,3,20
1294,hulkenberg,17,12,5
1295,karthikeyan,17,23,18
1296,kobayashi,17,17,9
1297,kovalainen,17,20,14
1298,maldonado,17,9,22
1299,massa,17,6,3
1300,michael_schumacher,17,14,7
1301,perez,17,8,24
1302,petrov,17,19,11
1303,pic,17,24,12
1304,raikkonen,17,7,10
1305,resta,17,16,19
1306,ricciardo,17,15,13
1307,rosa,17,22,17
1308,rosberg,17,10,15
1309,vergne,17,18,8
1310,vettel,17,1,6
1311,webber,17,2,4
1312,alonso,18,7,2
1313,bruno_senna,18,15,23
1314,button,18,6,1
1315,glock,18,22,16
1316,grosjean,18,10,21
1317,hamilton,18,1,20
1318,hulkenberg,18,11,5
1319,karthikeyan,18,24,18
1320,kobayashi,18,16,9
1321,kovalainen,18,19,14
1322,maldonado,18,4,22
1323,massa,18,9,3
1324,michael_schumacher,18,14,7
1325,perez,18,12,24
1326,petrov,18,21,11
1327,pic,18,20,12
1328,raikkonen,18,5,10
1329,resta,18,13,19
1330,ricciardo,18,17,13
1331,rosa,18,23,17
1332,rosberg,18,8,15
1333,vergne,18,18,8
1334,vettel,18,3,6
1335,webber,18,2,4
1336,alonso,19,9,2
1337,bruno_senna,19,11,23
1338,button,19,12,1
1339,glock,19,19,16
1340,grosjean,19,4,21
1341,hamilton,19,2,20
1342,hulkenberg,19,8,5
1343,karthikeyan,19,24,18
1344,kobayashi,19,16,9
1345,kovalainen,19,22,14
1346,maldonado,19,10,22
1347,massa,19,7,3
1348,michael_schumacher,19,6,7
1349,perez,19,15,24
1350,petrov,19,21,11
1351,pic,19,20,12
1352,raikkonen,19,5,10
